category,question,answer,source
가상 계좌 안내,상담사는 왜 가상 계좌를 통해 미납금을 납부할 것을 권유하였나요?,결제 계좌에서의 출금은 통화 중에만 가능한데 고객의 계좌에 잔고가 없었기 때문이다.,AIHub(하나카드)/27093
가상 계좌 안내,손님은 언제 카드 결제 금액을 완납하려고 해?,오늘,AIHub(하나카드)/20840
가상 계좌 안내,오늘 통지하는 완납 금액에는 후불 교통카드 이용금액이 포함 돼?,"아니, 후불 교통카드의 경우 추후에 청구될 수 있어.",AIHub(하나카드)/20840
가상 계좌 안내,자동이체를 해지한 주체는 어디인가요?,카드 대금을 출금하는 은행입니다.,AIHub(하나카드)/24624
가상 계좌 안내,포인트를 충전해서 사용하는 카드가 뭐지?,포도 체크카드,AIHub(하나카드)/20819
가상 계좌 예약/취소,결제 금액을 선택하면 바로 확인할 수 있나요?,"예, 결제된 금액은 바로 확인 가능합니다.",AIHub(하나카드)/22479
가상 계좌 예약/취소,고객은 당월 할부 결제금을 전액 선결제했지?,"아니, 일부만 선결제했어.",AIHub(하나카드)/22451
가상 계좌 예약/취소,고객은 선결제 금액을 오늘 몇 시까지 입금해야 해?,11시 30분 전까지,AIHub(하나카드)/21335
가상 계좌 예약/취소,고객은 오늘 중으로 가상 계좌에 대금을 납부할 수 있나요?,"예, 고객은 오늘 중으로 가상 계좌에 대금을 납부할 수 있습니다.",AIHub(하나카드)/20824
가상 계좌 예약/취소,고객은 왜 노래방에서 할부 서비스를 못 받았어?,가맹점 따라 할부 서비스 적용 여부가 다르기 때문이야.,AIHub(하나카드)/24670
가상 계좌 예약/취소,고객은 왜 어머니의 카드론 이용 대금을 대신 갚고자 하고 있어?,어머니가 사망하였기 때문이다.,AIHub(하나카드)/25203
가상 계좌 예약/취소,고객은 입금 마감 시각을 안내받았나요?,"네, 오늘 밤 11시 30분까지 입금해야 한다고 안내받았습니다.",AIHub(하나카드)/23147
가상 계좌 예약/취소,고객은 지난달에 카드 연회비를 내지 않았지?,"아니, 지난달 연회비를 포함한 카드 이용 요금을 납부했어.",AIHub(하나카드)/27004
가상 계좌 예약/취소,고객은 카드사에서 어머니의 주민등록번호를 수집하는 것에 동의했나요?,"네, 동의했습니다.",AIHub(하나카드)/25203
가상 계좌 예약/취소,고객은 할부 결제금을 왜 선결제하려고 해?,한도를 복원하려고,AIHub(하나카드)/22451
가상 계좌 예약/취소,고객이 가상 계좌 관련 안내 문자를 보려면 어머니의 휴대폰을 확인할 수밖에 없나요?,"아니요, 상담사가 고객의 휴대폰으로 안내 문자를 따로 발송하겠다고 했으므로 자신의 휴대폰을 통해서도 문자를 볼 수 있습니다.",AIHub(하나카드)/25203
가상 계좌 예약/취소,고객이 가상 계좌로 오늘 입금해야 하는 금액은 얼마야?,"이자 포함 5,325,000원이야.",AIHub(하나카드)/22429
가상 계좌 예약/취소,고객이 결제를 완료해야 하는 기한은 언제야?,밤 11시 반,AIHub(하나카드)/27166
가상 계좌 예약/취소,고객이 결제일에 출금이 안 된 이유는 무엇인가?,계좌 잔고 문제,AIHub(하나카드)/21437
가상 계좌 예약/취소,고객이 선결제하겠다고 한 금액은 얼마야?,57만 원,AIHub(하나카드)/22479
가상 계좌 예약/취소,고객이 카드 대금 납부를 위해 받은 가상계좌로 입금하는 사람은 누구야?,고객의 남편,AIHub(하나카드)/20824
가상 계좌 예약/취소,고객이 카드 대금을 납부하기로 한 방법은 어떻게야?,가상 계좌로 입금,AIHub(하나카드)/20815
가상 계좌 예약/취소,고객이 핸드폰 할인 요금 적용을 받기 위해 발행한 카드는 무엇인가?,신용카드,AIHub(하나카드)/21335
가상 계좌 예약/취소,고객이 현재 납부하려고 하는 금액의 목적은 무엇인가?,한도 복원을 위한 할부 결제금 납부,AIHub(하나카드)/22451
가상 계좌 예약/취소,상담사가 안내한 이자를 포함한 장기 카드 대출금의 기준일은 언제야?,6월 5일,AIHub(하나카드)/22429
가상 계좌 예약/취소,상담사는 고객에게 가상 계좌 번호를 어떻게 전달해주었나요?,문자로,AIHub(하나카드)/23147
가상 계좌 예약/취소,상담사는 고객에게 가상 계좌 예약 후 무엇이 자동으로 발송된다고 말했나요?,문자,AIHub(하나카드)/27166
가상 계좌 예약/취소,손님은 가상계좌 연결을 하지 않았어?,"아니, 연결했어.",AIHub(하나카드)/21353
가상 계좌 예약/취소,손님은 무엇을 가상 계좌로 입금하려고 해?,이번 달 카드 대금을 가상 계좌로 입금하려고 한다.,AIHub(하나카드)/20815
가상 계좌 예약/취소,손님은 수수료와 원금을 별도로 결제하길 원해?,응.,AIHub(하나카드)/21353
가상 계좌 예약/취소,손님은 이번 달 카드 대금을 이월 처리할 예정이야?,"아니, 청구되는 금액 기준 그대로 납부하려고 해.",AIHub(하나카드)/20815
가상 계좌 예약/취소,손님이 사용한 카드 총 금액은 얼마인가?,총 사용 금액은 승인된 금액 기준으로 확인됩니다.,AIHub(하나카드)/23147
가상 계좌 예약/취소,오늘 가상계좌에 입금하면 한도는 바로 복원되는 거야?,응.,AIHub(하나카드)/24670
가상 계좌 예약/취소,카드사에 연결된 고객 통장 계좌 번호는 뭐로 시작해?,842로 시작해.,AIHub(하나카드)/21437
가상계좌 안내,가상 계좌 결제를 요청한 고객이 문자로 받은 내용에는 무엇이 기재되어 있니?,가상 계좌 번호와 입금할 금액이 적혀 있어.,AIHub(하나카드)/22089
가상계좌 안내,가상 계좌 입금은 언제까지 완료해야 결제 처리가 완료되니?,당일 밤 11시 30분까지 입금해야 돼.,AIHub(하나카드)/26094
가상계좌 안내,가상 계좌로 당일 입금할 경우 언제까지 입금이 완료되어야 하니?,당일 밤 11시 30분까지 입금해야 해.,AIHub(하나카드)/22214
가상계좌 안내,가상 계좌로 돈을 입금한 뒤엔 고객센터에 전화해서 알려야 해?,"아니, 전화할 필요는 없어.",AIHub(하나카드)/24802
가상계좌 안내,가상 계좌로 언제까지 입금해야 정상 결제 처리가 돼?,오늘 밤 11시 30분까지 입금해야 해.,AIHub(하나카드)/24789
가상계좌 안내,가상 계좌로 입금할 때 원 단위까지 정확하게 입금해야 해?,응.,AIHub(하나카드)/200248
가상계좌 안내,가상 계좌를 받은 당일에 카드 대금을 입금해야 하는 이유가 뭐야?,결제 금액이 변경되기 때문이야.,AIHub(하나카드)/200050
가상계좌 안내,가상 계좌를 안내한 상담사는 왜 고객에게 결제 계좌의 잔고를 비워두라고 했지?,이중 출금될 수 있으므로,AIHub(하나카드)/20769
가상계좌 안내,가상 계좌에 관한 유의 사항은 무슨 방식으로 전달될 예정인가요?,유의 사항은 문자 메시지로 전달될 예정입니다.,AIHub(하나카드)/25604
가상계좌 안내,가상계좌 결제 시 유의 사항에 관해 무엇으로 안내받을 수 있다고 했습니까?,문자로,AIHub(하나카드)/24972
가상계좌 안내,가상계좌 결제 안내 사항을 고객은 무엇으로 받아볼 수 있습니까?,문자,AIHub(하나카드)/22369
가상계좌 안내,가상계좌 결제 후 결제 계좌에 잔고가 있으면 왜 안 되나요?,이중 출금이 될 수 있어서,AIHub(하나카드)/22369
가상계좌 안내,가상계좌 입금 마감 시간은 언제까지인가?,밤 11시 반 이전,AIHub(하나카드)/20665
가상계좌 안내,가상계좌 입금 마감 시간은 언제인가요?,오늘 밤 11시 반,AIHub(하나카드)/200374
가상계좌 안내,가상계좌 입금할 때 당일이 지나면 금액이 달라져?,응.,AIHub(하나카드)/22683
가상계좌 안내,가상계좌 정보는 어디로 발송되는 거야?,손님의 휴대폰 문자,AIHub(하나카드)/21954
가상계좌 안내,가상계좌는 내일까지 유효해?,"아니, 오늘까지만 부여되는 거야.",AIHub(하나카드)/22721
가상계좌 안내,가상계좌는 무슨 은행 계좌로 발송됐나요?,나라은행,AIHub(하나카드)/25841
가상계좌 안내,가상계좌로 결제해도 결제 계좌에 잔고가 있을 때는 어떻게 될 수 있어?,잔고가 남아 있으면 이중 출금될 수도 있어.,AIHub(하나카드)/22194
가상계좌 안내,가상계좌로 입금하면 카드 정지가 즉시 해제될 수 있나요?,"예, 정지는 바로 해지 가능합니다.",AIHub(하나카드)/20961
가상계좌 안내,가상계좌로 입금할 금액은 어제 기준 금액이니?,"아니, 오늘 기준 금액이야.",AIHub(하나카드)/200254
가상계좌 안내,가상계좌로 추가 금액을 결제할 수 있나요?,"아니요, 미납금액에 대해서만 가능합니다.",AIHub(하나카드)/24362
가상계좌 안내,가상계좌를 받은 후에 아무 때나 입금해도 돼?,"아니, 가상계좌는 당일이 지나면 금액이 달라져.",AIHub(하나카드)/21778
가상계좌 안내,가상계좌에 결제 금액을 오늘 몇 시까지 입금해야 해?,밤 11시 30분까지,AIHub(하나카드)/24190
가상계좌 안내,가상계좌에 예약하지 않고 밤 11시 30분이 지나서 입금하면 어떻게 돼?,"결제가 처리될 수도 있고, 처리되지 않을 수도 있어.",AIHub(하나카드)/21205
가상계좌 안내,가상계좌에 필요한 금액보다 더 많이 입금해도 상관없지?,"아니, 정확한 금액을 입금해야 해.",AIHub(하나카드)/25696
가상계좌 안내,가상계좌와 입금 금액을 나중에 문자로 받도록 예약해 놓을 수 있어?,아니.,AIHub(하나카드)/22303
가상계좌 안내,결제 계좌에 남아 있는 잔고를 비워야 하는 이유가 뭐야?,잔고가 남아 있으면 출금이 이중으로 될 수 있기 때문이야.,AIHub(하나카드)/200239
가상계좌 안내,결제 계좌에 잔고가 남아 있으면 출금이 계속 시도됩니까?,네.,AIHub(하나카드)/26155
가상계좌 안내,결제 계좌에서 이중 출금되는 것을 막으려면 어떻게 해야 해?,결제 계좌의 잔고를 비워야 해.,AIHub(하나카드)/24905
가상계좌 안내,결제 대금 납부를 위해 받은 가상 계좌에 언제까지 입금해야 정상 처리가 가능해?,밤 11시 30분까지만 입금 가능해.,AIHub(하나카드)/21418
가상계좌 안내,결제 대금을 언제까지 가상 계좌로 입금해야 되나요?,오늘 밤 11시 30분까지 입금해야 됩니다.,AIHub(하나카드)/24927
가상계좌 안내,결제 대금이 이중 출금되면 언제 계좌로 환불되지?,출금 익일,AIHub(하나카드)/21997
가상계좌 안내,결제 은행을 변경할 경우 언제부터 변경된 은행 계좌에서 처리가 돼?,다음 달 결제부터 변경된 계좌에서 처리돼.,AIHub(하나카드)/21928
가상계좌 안내,결제 후 청구서 작업은 언제부터 변경되나요?,모레 도래되는 결제일부터,AIHub(하나카드)/21330
가상계좌 안내,고객에게 안내한 결제 대금은 내일이 되어도 동일하게 유지되나요?,"아니요, 오늘 기준 금액이며 오늘 완납하지 않으면 금액이 변경됩니다.",AIHub(하나카드)/21868
가상계좌 안내,고객은 2백30만 원을 내면 더 이상 내야 할 금액이 없어?,"아니, 할부 원금 30만 원이 남아있어.",AIHub(하나카드)/27271
가상계좌 안내,고객은 가상 계좌로 카드 연체금을 언제까지 입금해야 합니까?,오늘 밤 11시 30분까지 입금해야 됩니다.,AIHub(하나카드)/24329
가상계좌 안내,고객은 가상 계좌를 받은 뒤 상담사에게 자신의 잔여 할부 금액을 물었니?,응.,AIHub(하나카드)/22089
가상계좌 안내,고객은 가상계좌 납입과 카드 해지 중 무엇을 먼저 진행할 예정이야?,가상계좌 납입,AIHub(하나카드)/23278
가상계좌 안내,고객은 가상계좌 발송 문제로 몇 번째 통화를 한다고 했죠?,세 번째,AIHub(하나카드)/24927
가상계좌 안내,고객은 가상계좌 이용에 관해 자세한 설명을 듣고 싶어 했나요?,아니요.,AIHub(하나카드)/20912
가상계좌 안내,고객은 가상계좌 입금 시 결제 계좌의 잔액을 비워두어야 하나요?,"예, 이중 출금 우려를 방지하기 위해 오늘 하루 잔고를 비워두고 정확한 금액으로 입금해야 합니다.",AIHub(하나카드)/200098
가상계좌 안내,고객은 가상계좌 정보를 문자로 받았어?,응.,AIHub(하나카드)/23712
가상계좌 안내,고객은 가상계좌로 결제할 계획인가?,"예, 특정 은행의 가상계좌로 결제할 예정입니다.",AIHub(하나카드)/23020
가상계좌 안내,고객은 결제일 전에 다시 가상계좌를 발급받아야 해?,아니.,AIHub(하나카드)/21818
가상계좌 안내,고객은 계좌 이체를 할 테니 어떻게 해달라고 했지?,가상 계좌랑 금액을 문자로 전송하라고 했어.,AIHub(하나카드)/26053
가상계좌 안내,고객은 금요일에 입금 처리를 하려고 했는데 왜 못했다고 했나요?,가상계좌를 요청했지만 문자를 받지 못했다고 했어요.,AIHub(하나카드)/24332
가상계좌 안내,고객은 나무은행의 가상계좌만 받을 수 있어?,"아니, 나무은행, 햇살은행, 숲속은행의 가상계좌를 받을 수 있어.",AIHub(하나카드)/200189
가상계좌 안내,고객은 납부 후 계좌 잔액을 왜 비워야 해?,이중 출금의 우려가 있어서,AIHub(하나카드)/25888
가상계좌 안내,고객은 누구의 카드 대금 미납 정보를 확인하려고 해?,고객의 배우자,AIHub(하나카드)/24940
가상계좌 안내,고객은 매번 같은 가상계좌로 선결제할 수 있나요?,"아니요, 특정 건수나 다른 선결제는 별도로 예약해야 합니다.",AIHub(하나카드)/21310
가상계좌 안내,고객은 뭐 때문에 건별 선결제를 할 수 없었어?,연체료,AIHub(하나카드)/21900
가상계좌 안내,고객은 뭘 통해 연체된 금액을 고지받았지?,문자,AIHub(하나카드)/27353
가상계좌 안내,고객은 미납 금액을 가상계좌로 입금하려고 하나요?,"예, 가상계좌로 미납 금액을 입금하려고 합니다.",AIHub(하나카드)/21535
가상계좌 안내,고객은 발급받은 가상 계좌에 오늘 밤 11시 반까지 카드 대금을 입금해야 하지?,응.,AIHub(하나카드)/20665
가상계좌 안내,고객은 발급받은 가상계좌에 언제까지 입금해야 해?,당일 저녁 11시 30분,AIHub(하나카드)/25273
가상계좌 안내,고객은 법인 카드를 보유하고 있다고 했나요?,아니요.,AIHub(하나카드)/25237
가상계좌 안내,고객은 상담을 통해 요청 사항을 모두 처리 받았어?,응.,AIHub(하나카드)/27273
가상계좌 안내,고객은 선결제할 금액을 종합은행으로 입금한다고 했지?,아니.,AIHub(하나카드)/21330
가상계좌 안내,고객은 소지한 카드로 파지은행에서 현금을 인출할 수 있어?,"아니, 변경 전 계좌에서만 인출할 수 있어.",AIHub(하나카드)/27279
가상계좌 안내,고객은 신규 등록을 원하는 카드를 소지하고 있지 않아 등록 절차를 완료하지 못했나요?,"아니요, 해당 카드를 가지고 있었고 상담사가 안내하는 대로 카드 등록을 완료했습니다.",AIHub(하나카드)/200338
가상계좌 안내,고객은 안내받은 가상 계좌로 언제까지 입금해야 하나요?,상담 당일 저녁 11시 30분 전까지 입금해야 해요.,AIHub(하나카드)/25375
가상계좌 안내,고객은 어떤 방법으로 미납 금액을 납부하려고 하나요?,가상 계좌에 입금하는 방법으로 미납 금액을 납부하려고 해요.,AIHub(하나카드)/22767
가상계좌 안내,고객은 업무 처리를 위하여 가상 계좌를 2번 예약해야 해?,"응, 납부 지연금 및 이월금 각각 1번씩 총 2번 예약해야 해.",AIHub(하나카드)/200374
가상계좌 안내,고객은 연체 금액을 언제까지 입금해야 해?,오늘 밤 11시 30분까지,AIHub(하나카드)/22892
가상계좌 안내,고객은 연체금액을 해결하기 위해 가상계좌를 요청했나?,"예, 상담원에게 가상계좌번호를 요청했습니다.",AIHub(하나카드)/24972
가상계좌 안내,고객은 오늘 밤 몇 시까지 가상 계좌로 입금해야 해?,11시 30분 전까지 입금해야 해.,AIHub(하나카드)/23323
가상계좌 안내,고객은 왜 20만 원의 연체금이 생긴 거야?,자동이체가 연결된 통장에 잔고가 부족했기 때문이야.,AIHub(하나카드)/26959
가상계좌 안내,고객은 왜 가상 계좌를 요청했니?,카드값을 결제하려고 가상 계좌를 요청했어.,AIHub(하나카드)/22089
가상계좌 안내,고객은 왜 결제일에 잔고를 비워둬야 하나요?,결제일 당일 계좌에 잔고가 남아 있으면 이중 출금될 수 있기 때문입니다.,AIHub(하나카드)/21257
가상계좌 안내,고객은 이번 달 대금 결제를 위해 상담사에게 무엇을 받았습니까?,가상 계좌 번호,AIHub(하나카드)/25696
가상계좌 안내,고객은 이번에 가상계좌를 통해 결제하고 나면 남는 대출 금액이 없지?,"아니, 카드론 대출이 남아 있어.",AIHub(하나카드)/25273
가상계좌 안내,고객은 이제 체크 카드를 어디서 사용하지 못해?,해외,AIHub(하나카드)/27279
가상계좌 안내,고객은 자신의 휴대전화 번호를 바꿨어?,응.,AIHub(하나카드)/27271
가상계좌 안내,고객은 즉시 출금이 가능한 은행 계좌를 결제 계좌로 이용 중이지?,아니.,AIHub(하나카드)/21900
가상계좌 안내,고객은 채무 면제 서비스를 받은 적이 있어?,응.,AIHub(하나카드)/23471
가상계좌 안내,고객은 카드 결제 금액을 무슨 방법으로 입금하려고 해?,가상계좌,AIHub(하나카드)/22216
가상계좌 안내,고객은 카드 대금의 전액을 갚으려고 해?,아니.,AIHub(하나카드)/23101
가상계좌 안내,고객은 카드 등록을 위해서 카드 번호 끝 네 자리를 알려준 거야?,응.,AIHub(하나카드)/24094
가상계좌 안내,고객은 카드 사용 내역서를 어떻게 보내달라고 했지?,팩스로 보내달라고 했어.,AIHub(하나카드)/25225
가상계좌 안내,고객은 카드 연체가 발생했다는 걸 고지서를 보고 알았어?,"아니, 문자 알림을 받고 알았어.",AIHub(하나카드)/25260
가상계좌 안내,고객은 카드 영업점에 직접 찾아가서 결제 금액을 납부할 예정이지?,"아니, 고객은 가상계좌를 통해서 입금할 예정이야.",AIHub(하나카드)/24940
가상계좌 안내,고객은 카드를 사용할 수 있습니까?,아니요.,AIHub(하나카드)/24998
가상계좌 안내,고객은 통장에서 무엇이 빠져나가서 잔고가 부족했다고 설명했지?,보험료,AIHub(하나카드)/26053
가상계좌 안내,고객은 한도 상향 승인을 받았나요?,아니요.,AIHub(하나카드)/25841
가상계좌 안내,고객은 현재 연체 상태에서 한도 상향을 받을 수 있나요?,"아니요, 금액을 먼저 상환한 후에 한도 상향을 문의할 수 있습니다.",AIHub(하나카드)/21418
가상계좌 안내,고객의 결제 계좌는 입출금이 안 되는 계좌야?,"아니, 입출금이 가능한 정상 계좌야.",AIHub(하나카드)/26053
가상계좌 안내,고객의 결제 금액은 소행은행 계좌에서 즉시 출금하는 방식으로 납부되었나요?,"아니요, 가상 계좌를 예약하여 납부하기로 하였습니다.",AIHub(하나카드)/21050
가상계좌 안내,고객의 계좌에 잔고가 없다고 하자 상담원은 가상 계좌를 문자로 전송했지?,응.,AIHub(하나카드)/26094
가상계좌 안내,"고객의 미납 금액 3,830,000원은 연체료가 포함된 금액입니까?","네, 연체료 130,000원이 포함된 금액입니다.",AIHub(하나카드)/25888
가상계좌 안내,고객의 미납 대금은 얼마인가요?,20만 원입니다.,AIHub(하나카드)/21839
가상계좌 안내,고객의 본인 확인은 완료되었나요?,"예, 고객 본인 확인이 정상적으로 완료되었습니다.",AIHub(하나카드)/21928
가상계좌 안내,고객의 아버지는 살아 계시지?,"아니, 돌아가셨어.",AIHub(하나카드)/23221
가상계좌 안내,고객의 연체금은 전부 완납된 상태였나요?,"아니요, 잔여 미납 금액이 있었습니다.",AIHub(하나카드)/25225
가상계좌 안내,고객의 카드 결제 계좌에 잔고가 있는 경우 추가 출금이 될 수 있어?,응.,AIHub(하나카드)/22216
가상계좌 안내,고객의 카드 결제일은 언제인가요?,오늘,AIHub(하나카드)/23020
가상계좌 안내,고객의 카드 대금 결제일은 언제야?,21일,AIHub(하나카드)/24790
가상계좌 안내,고객의 카드 대금 결제일은 원래 언제였어?,어제,AIHub(하나카드)/200254
가상계좌 안내,고객의 카드 서비스가 현재 정지된 이유는 무엇인가?,문자 알림 서비스 요금 미납,AIHub(하나카드)/21000
가상계좌 안내,고객의 카드가 분실된 상태인가요?,"아니요, 해당 카드는 해지된 상태입니다.",AIHub(하나카드)/25498
가상계좌 안내,고객의 카드가 정지된 주된 이유는 무엇인가?,연체 금액 미납,AIHub(하나카드)/22892
가상계좌 안내,고객의 카드는 언제 정지 처리가 해지될 예정이야?,가상 계좌로 연체 대금을 입금하면 카드 정지가 해지된다.,AIHub(하나카드)/20961
가상계좌 안내,고객의 카드는 왜 정지된 거야?,카드 결제 대금을 납부하지 않아 연체가 되었기 때문이다.,AIHub(하나카드)/21997
가상계좌 안내,고객이 가상계좌로 입금해야 하는 마감 시간은 언제인가?,오늘 밤 11시 30분 전,AIHub(하나카드)/200189
가상계좌 안내,고객이 가상계좌에 납입할 금액은 얼마야?,2백 30만 원,AIHub(하나카드)/27271
가상계좌 안내,고객이 가상계좌에 부족 금액을 입금하면 카드 정지가 바로 해제돼?,응.,AIHub(하나카드)/22892
가상계좌 안내,고객이 가상계좌에 입금하려는 시점은 언제인가?,오늘,AIHub(하나카드)/200050
가상계좌 안내,고객이 가상계좌에 제때 돈을 입금하지 않으면 왜 금액이 변동되지?,연체 수수료 때문에,AIHub(하나카드)/27353
가상계좌 안내,고객이 건별로 결제하려고 하는 것은 무엇인가?,체크카드 결제,AIHub(하나카드)/21900
가상계좌 안내,고객이 결제일에 결제하는 금액과 상담 요청일에 결제하는 금액에는 차이가 없어?,"아니, 5,000원 차이가 나.",AIHub(하나카드)/24790
가상계좌 안내,고객이 결제하지 못한 것은 무엇인가요?,미납된 카드 대금,AIHub(하나카드)/200254
가상계좌 안내,고객이 미납 금액을 입금하기 위해 요청한 방법은 뭐지?,가상계좌 입금,AIHub(하나카드)/21581
가상계좌 안내,고객이 미납한 카드 대금은 얼마야?,"22,000원",AIHub(하나카드)/24789
가상계좌 안내,고객이 사용하고 있는 카드의 종류는 뭐야?,신용카드,AIHub(하나카드)/21310
가상계좌 안내,"고객이 사용한 후불 교통카드 금액은 50,000원입니까?",네.,AIHub(하나카드)/200239
가상계좌 안내,고객이 상담 중 요청한 서비스는 무엇인가?,가상계좌,AIHub(하나카드)/23355
가상계좌 안내,고객이 상담원에게 받으려고 하는 것은 무엇인가?,가상계좌,AIHub(하나카드)/200163
가상계좌 안내,고객이 상담원의 안내에 따라 연체금액 입금을 위해 이용하려는 것은 뭐야?,가상 계좌,AIHub(하나카드)/25375
가상계좌 안내,고객이 새로 발급받은 카드가 이미 개통되었나요?,"아니요, 아직 개통되지 않았습니다.",AIHub(하나카드)/23278
가상계좌 안내,고객이 새로 발급받은 카드는 등록된 카드였어?,아니.,AIHub(하나카드)/24094
가상계좌 안내,고객이 선결제를 하기 위해 상담사에게 보내달라고 한 것은 뭐지?,가상계좌,AIHub(하나카드)/24142
가상계좌 안내,고객이 어제 받은 문자는 몇 개야?,2개,AIHub(하나카드)/24561
가상계좌 안내,고객이 연체금을 납부하여도 카드를 사용할 수 없는 이유는 왜지?,연체금 납부와 별개로 사용한 금액과 납부하고 있는 할부 금액이 총한도를 넘었기 때문이다.,AIHub(하나카드)/24998
가상계좌 안내,고객이 오늘 가상 계좌로 얼마를 입금해야 정상 처리가 가능해?,"2,220,000원",AIHub(하나카드)/24802
